,frame,behaviour,hit,values,freq
577,577,Nothing,,,
578,578,Nothing,,,
579,579,Nothing,,,
580,580,Nothing,,,
581,581,Nothing,,,
582,582,Nothing,,,
583,583,Nothing,,,
584,584,Nothing,,,
585,585,Nothing,,,
586,586,Nothing,,,
587,587,Nothing,,,
588,588,Nothing,,,
589,589,Nothing,,,
590,590,Nothing,,,
591,591,Nothing,,,
592,592,Nothing,,,
593,593,Nothing,,,
594,594,Nothing,,,
595,595,Nothing,,,
596,596,Nothing,,,
597,597,Nothing,,,
598,598,Nothing,,,
599,599,Nothing,,,
600,600,Nothing,,,
601,601,Nothing,,,
602,602,Nothing,,,
603,603,Nothing,,,
604,604,Nothing,,,
605,605,Nothing,,,
606,606,Nothing,,,
607,607,Nothing,,,
608,608,Nothing,,,
609,609,Nothing,,,
610,610,Nothing,,,
611,611,Nothing,,,
612,612,Nothing,,,
613,613,Nothing,,,
614,614,Nothing,,,
615,615,Nothing,,,
616,616,Nothing,,,
617,617,Nothing,,,
618,618,Nothing,,,
619,619,Nothing,,,
620,620,Nothing,,,
621,621,Nothing,,,
622,622,Nothing,,,
623,623,Nothing,,,
624,624,Nothing,,,
625,625,Nothing,,,
626,626,Nothing,,,
627,627,Nothing,,,
628,628,Nothing,,,
629,629,Nothing,,,
630,630,Nothing,,,
631,631,Nothing,,,
632,632,Nothing,,,
633,633,Nothing,,,
634,634,Nothing,,,
635,635,Nothing,,,
636,636,Nothing,,,
637,637,Nothing,,,
638,638,Nothing,,,
639,639,Nothing,,,
640,640,Nothing,,,
641,641,Nothing,,,
642,642,Nothing,,,
643,643,Nothing,,,
644,644,Nothing,,,
645,645,Nothing,,,
646,646,Nothing,,,
647,647,Nothing,,,
648,648,Nothing,,,
649,649,Nothing,,,
650,650,Nothing,,,
651,651,Nothing,,,
652,652,Nothing,,,
653,653,Nothing,,,
654,654,Nothing,,,
655,655,Nothing,,,
656,656,Nothing,,,
657,657,Nothing,,,
658,658,Nothing,,,
659,659,Nothing,,,
660,660,Nothing,,,
661,661,Nothing,,,
662,662,Nothing,,,
663,663,Nothing,,,
664,664,Nothing,,,
665,665,Nothing,,,
666,666,Nothing,,,
667,667,Nothing,,,
668,668,Nothing,,,
669,669,Nothing,,,
670,670,Nothing,,,
671,671,Nothing,,,
672,672,Nothing,,,
673,673,Nothing,,,
674,674,Nothing,,,
675,675,Nothing,,,
676,676,Nothing,,,
677,677,Nothing,,,
678,678,Nothing,,,
679,679,Nothing,,,
680,680,Nothing,,,
681,681,Nothing,,,
682,682,Nothing,,,
683,683,Nothing,,,
684,684,Nothing,,,
685,685,Nothing,,,
686,686,Nothing,,,
687,687,Nothing,,,
688,688,Nothing,,,
